,coefficients
num__Temperature,-45623.31576865636
num__Fuel_Price,-8962.094592930356
num__CPI,39718.319496039854
num__Unemployment,-83018.35778712016
num__Year,-48020.998000461725
num__Month,32240.403952290908
num__Day,-4443.604554700342
num__Day_of_week,-15241.96037961133
cat__Store_2.0,384799.6972714204
cat__Store_3.0,-1174962.3677119438
cat__Store_4.0,562396.7262883936
cat__Store_5.0,-1348963.9435594825
cat__Store_6.0,-35019.50820103068
cat__Store_7.0,-958127.6043850277
cat__Store_8.0,-834605.6211084536
cat__Store_9.0,-1191582.0952371776
cat__Store_10.0,477488.6352929423
cat__Store_11.0,-187852.77845144054
cat__Store_13.0,509320.1549116047
cat__Store_14.0,616695.2932283196
cat__Store_15.0,-813112.3562804845
cat__Store_16.0,-1095816.7925460243
cat__Store_17.0,-726755.2617498275
cat__Store_18.0,-283464.82543432375
cat__Store_19.0,-15092.981479078167
cat__Store_20.0,482074.84198248014
cat__Holiday_Flag_1.0,-16462.042481598848
